"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2000";0,38;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2001";0,35;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2002";0,32;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2003";0,30;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2004";0,29;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2005";0,27;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2006";0,28;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2007";0,29;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2008";0,30;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2009";0,30;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2010";0,31;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2011";0,38;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2012";0,40;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2013";0,41;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2014";0,40;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2015";0,40;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2016";0,39;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2017";0,40;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2018";0,41;"zł";"";
0000000;"POLSKA";"sól warzona biała workowana - za 1kg";"2019";0,49;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"1999";0,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2000";0,20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2001";0,00;"zł";"#";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2002";0,00;"zł";"#";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2003";0,00;"zł";"#";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2004";0,00;"zł";"#";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2005";0,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2006";0,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2007";0,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2008";0,22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2009";0,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2010";0,27;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2011";0,27;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2012";0,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2013";0,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2014";0,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2015";0,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2016";0,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2017";0,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2018";0,33;"zł";"";
0200000;"DOLNOŚLĄSKIE";"jaja kurze świeże - za 1szt.";"2019";0,31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"1999";1,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2000";2,36;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2001";2,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2002";2,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2003";1,81;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2004";2,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2005";2,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2006";2,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2007";2,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2008";2,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2009";2,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2010";2,22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2011";3,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2012";3,46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2013";3,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2014";2,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2015";1,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2016";2,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2017";2,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2018";1,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"cukier biały z buraków cukrowych, workowany - za 1kg";"2019";1,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"1999";13,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2000";13,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2001";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2002";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2003";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2004";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2005";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2006";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2007";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2008";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2009";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2010";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2011";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2016";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2017";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2018";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czekolada naturalna pełna bez dodatków - za 1kg";"2019";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"1999";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2000";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2001";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2002";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2003";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2004";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2005";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2006";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2007";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2008";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2009";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2010";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2011";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2016";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2017";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2018";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sól warzona biała workowana - za 1kg";"2019";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"1999";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2000";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2001";0,00;"zł";"#";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2002";0,00;"zł";"#";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2003";0,00;"zł";"#";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2004";0,00;"zł";"#";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2005";0,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"jaja kurze świeże - za 1szt.";"2006";0,00;"zł";"";
