"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"1999";1,99;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2000";2,18;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2001";1,92;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2002";1,76;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2003";1,67;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2004";1,67;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2005";1,61;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2006";1,49;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2007";1,66;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2008";1,97;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2009";1,64;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2010";1,72;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2011";1,86;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2012";2,14;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2013";2,22;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2014";2,08;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2015";2,03;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2016";2,28;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2017";2,29;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2018";2,38;"zł";"";
0000000;"POLSKA";"sok jabłkowy, w opakowaniu kartonowym - za 1l";"2019";1,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"1999";2,31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mieszanka mrożona marchew i groszek - za 1kg";"2000";2,40;"zł";"";
