"Kod";"Nazwa";"Rodzaje produktów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2017";1,04;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2018";1,11;"zł";"";
0000000;"POLSKA";"mąka pszenna "Poznańska", workowana - za 1kg";"2019";1,18;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"1999";1,10;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2000";1,33;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2001";1,31;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2002";1,23;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2003";1,15;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2004";1,25;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2005";1,10;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2006";1,04;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2007";1,32;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2008";1,55;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2009";1,37;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2010";1,32;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2011";1,76;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2012";1,88;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2013";2,06;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2014";2,13;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2015";2,10;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2016";2,26;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2017";2,08;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2018";1,83;"zł";"";
0000000;"POLSKA";"kasza jęczmienna "Mazurska" - za 1kg";"2019";1,89;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"1999";2,99;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2000";3,04;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2001";3,01;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2002";2,87;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2003";3,16;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2004";3,27;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2005";2,72;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2006";2,71;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2007";3,88;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2008";3,57;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2009";3,01;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2010";4,52;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2011";6,68;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2012";4,53;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2013";4,85;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2014";5,00;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2015";5,04;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2016";5,36;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2017";5,00;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2018";4,33;"zł";"";
0000000;"POLSKA";"kasza gryczana prażona cała - za 1kg";"2019";4,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"1999";1,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2000";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2001";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2002";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2003";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2004";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2005";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2013";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2014";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2015";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2016";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2017";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2018";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb 1kg";"2019";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"1999";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2000";2,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2001";2,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2002";2,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2003";2,77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2004";2,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2005";2,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2006";3,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2007";3,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2008";3,98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2009";4,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2010";4,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2011";5,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2012";5,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2013";5,79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2014";5,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2015";5,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2016";6,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2017";6,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2018";6,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"chleb mieszany zwykły (pszenno-żytni) - za 1kg";"2019";6,26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"1999";0,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2000";1,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2001";1,20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2002";1,08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2003";0,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2004";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2005";0,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2006";0,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2007";1,08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2008";1,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2009";0,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2010";1,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2011";1,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2012";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2013";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2014";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2015";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2016";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2017";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2018";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"mąka pszenna "Poznańska", workowana - za 1kg";"2019";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"1999";1,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2000";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2001";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2002";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2003";1,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2004";1,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2005";1,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2006";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2007";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2008";0,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kasza jęczmienna "Mazurska" - za 1kg";"2009";0,00;"zł";"";
